"","x"
"1",137.789993286133
"2",139.070007324219
"3",138.369995117188
"4",135.550003051758
"5",134.740005493164
"6",133.229995727539
"7",133.979995727539
"8",130.380004882812
"9",130.309997558594
"10",129.580001831055
"11",128.449996948242
"12",129.660003662109
"13",127.790000915527
"14",126.720001220703
"15",127.709999084473
"16",128.470001220703
"17",129.190002441406
"18",130.660003662109
"19",127.25
"20",127.690002441406
"21",125.48999786377
"22",127.269996643066
"23",127.730003356934
"24",126.300003051758
"25",124.930000305176
"26",125.309997558594
"27",122.709999084473
"28",122.01000213623
"29",121.73999786377
"30",122.76000213623
"31",121.629997253418
"32",118.809997558594
"33",121.51000213623
"34",125.5
"35",125.73999786377
"36",122.230003356934
"37",118.819999694824
"38",117.75
"39",117.800003051758
"40",117.569999694824
"41",121.790000915527
"42",120.040000915527
"43",121.519996643066
"44",122.940002441406
"45",122.51000213623
"46",128.300003051758
"47",129.899993896484
"48",132.690002441406
"49",132.929992675781
"50",135.009994506836
"51",134.770004272461
"52",138.509994506836
"53",138.289993286133
"54",138.199996948242
"55",136.830001831055
"56",134.470001220703
"57",136.960006713867
"58",138.339996337891
"59",140.039993286133
"60",137.389999389648
"61",141.229995727539
"62",143.169998168945
"63",144.199996948242
"64",144.339996337891
"65",144.520004272461
"66",146.089996337891
"67",147.639999389648
"68",146.679992675781
"69",149.100006103516
"70",148.75
"71",148.369995117188
"72",146.179992675781
"73",146.490005493164
"74",148.899993896484
"75",149.160003662109
"76",148.669998168945
"77",147.410003662109
"78",147.5
"79",147.270004272461
"80",147.779998779297
"81",147.050003051758
"82",149.210006713867
"83",150.570007324219
"84",149.860000610352
"85",142.360000610352
"86",140.160003662109
"87",138.869995117188
"88",141.279998779297
"89",142.139999389648
"90",140.880004882812
"91",141.649993896484
"92",142.419998168945
"93",140.020004272461
"94",141.059997558594
"95",140.889999389648
"96",141.550003051758
"97",142.600006103516
"98",141.110000610352
"99",143.699996948242
"100",143.550003051758
"101",144.800003051758
"102",145.259994506836
"103",145.550003051758
"104",145.889999389648
"105",145.190002441406
"106",140.410003662109
"107",140.619995117188
"108",141.199996948242
"109",141.860000610352
"110",141.490005493164
"111",140.759994506836
"112",134.449996948242
"113",134.389999389648
"114",135.300003051758
"115",134.729995727539
"116",135.089996337891
"117",136.389999389648
"118",136.940002441406
"119",136.179992675781
"120",135.839996337891
"121",135.979995727539
"122",133.75
"123",135.600006103516
"124",137.350006103516
"125",136.009994506836
"126",136.399993896484
"127",135
"128",135.020004272461
"129",131.710006713867
"130",130.970001220703
"131",130.789993286133
"132",130.570007324219
"133",130.490005493164
"134",129.300003051758
"135",128.190002441406
"136",128.929992675781
"137",129.639999389648
"138",130.190002441406
"139",128.25
"140",128.050003051758
"141",126.160003662109
"142",125.449996948242
"143",125.580001831055
"144",124.650001525879
"145",123.279998779297
"146",124.699996948242
"147",123.690002441406
"148",125.940002441406
"149",126.569999694824
"150",124.050003051758
"151",123.370002746582
"152",125.290000915527
"153",129.309997558594
"154",129.339996337891
