Actual value,Predicted value
16128.2931841589,15320.30157543165
16006.4485291226,15813.078076902952
14972.6549818634,16261.442069358083
16755.5567701722,16310.985343443972
15943.9991739671,15264.787424999271
16382.7965977073,16078.9419256218
15460.4221645668,15476.636322391207
15154.9348874833,15512.170198533631
15578.5761828641,14958.099115590128
15886.9072721559,15020.869317805676
15163.6302871559,16009.224062011957
15145.0250307888,15189.053857569428
16400.1477663315,15656.902876633498
12337.9189566748,12732.722285730291
14629.1299940795,14704.07290041912
15293.2765324333,15706.362889440737
16135.4335524056,15475.775607322874
15514.6690136415,15033.422991158764
14100.9676506966,13482.884987212425
17812.4165579105,16798.698067596437
13946.278246226,15412.570855408363
13684.6563656137,15431.73201841369
14592.9164763296,15351.491383836394
15357.4266113764,14869.043807909791
13373.1027268292,11318.960413896735
13354.1218108642,15189.393442880162
16653.9311140637,15219.68438173334
14164.3356018978,14549.086807912996
15482.320020418,14884.796823630759
15407.8965845441,15319.824327861252
15868.8686775287,15829.738435629533
15409.3891025714,15546.764910264928
16457.7389548132,15870.091274397362
15449.3606310445,15534.674554603349
15754.5214834535,15546.846763506905
17590.4833324355,15607.905325442967
15024.2520402766,15396.07003894367
15186.6023464658,15130.048510262031
16275.6688082543,15774.474165295329
18144.9011932706,15809.749053666636
16837.8370156118,15736.388760787151
17116.1048598407,15031.881359431294
17888.0844445618,16776.253958846886
15232.1068947812,15224.604070016849
15700.6844173534,15464.705819485165
16304.8342707652,15591.588514006458
13531.328036284,15102.93388544379
15920.5080150284,16100.905509930486
15860.6616887688,15561.463865510288
16519.3080620571,16015.254007639978
15113.5220871521,14943.667865125086
15402.6722162465,15158.193594780923
15181.0319001756,16126.635432397845
14904.8286676811,15433.925902175082
14747.909779175,15460.489518704055
9177.6653765482,9494.922680174928
15786.6525021492,15581.42979134629
15493.6071344759,15637.24474859402
14764.9685063709,14506.786433741538
11029.5019454886,10730.315778366788
14877.4519178853,15303.897735499097
9885.40330562611,12211.822576359944
15109.5754989966,15136.90188561753
16169.9673736729,15281.470753310112
16252.8623073948,18067.90080191051
13271.5867830614,14218.920537198055
13026.5850031755,13023.238762935178
15630.429021344,15198.992267506073
14033.6172147931,15463.236126189162
15795.9564109098,14552.260124468157
15571.6010930075,15205.166461082932
16080.8200900371,15649.431015979073
13323.9876714545,15378.208802159117
13110.7769102059,15472.366110176827
17286.0934460027,16641.991767923522
16133.4265097401,15375.387116269867
14947.7303952877,15173.104654259789
13390.2670176313,14214.127675319338
16721.2255925271,14799.659383631966
17818.9104706251,17529.113735678748
15828.8264580133,14882.043823582531
15863.6152845193,13589.680795289481
15562.0111745944,15631.350421955749
16201.5569177068,16095.805779096654
16958.7589076461,15600.330484889406
16280.4573176194,15336.769336346453
14405.7410928253,14735.313003797553
16745.9962624517,14981.884019881658
14715.3951125083,15280.830308296221
15075.5060552113,14731.951139660532
14799.9336920956,15565.555703870907
14472.3980578548,14991.472256922198
15719.6251488412,15338.464177599555
14226.9052621235,15984.794305221902
19476.7061929123,18093.432812136307
16086.7583669862,17139.396174893405
15439.2379788968,15108.836466258694
17000.1666592508,15614.1150764799
14916.5569535709,15169.181393669973
